train/std,time/time_elapsed,train/reward_min,time/fps,train/n_updates,train/reward_max,time/total_timesteps,train/policy_loss,train/learning_rate,train/reward_mean,time/iterations,train/entropy_loss,train/reward,train/value_loss,train/explained_variance
1.0068377256393433,2,-0.44569895,240,99,1.0691482,500,11.161163330078125,0.0007,0.14763223,100,-39.91731262207031,-0.018633582,0.3730403780937195,-0.5276451110839844
1.009018063545227,4,-1.7473955,249,199,3.5537314,1000,-27.158580780029297,0.0007,0.8573146,200,-39.982425689697266,-1.7473955,0.49904847145080566,0.015190839767456055
1.0091581344604492,5,-3.9449725,255,299,5.4496827,1500,-270.40142822265625,0.0007,-0.19318834,300,-39.984310150146484,5.4496827,44.233455657958984,0.0
1.009983777999878,7,0.6905555,257,399,8.146702,2000,-8.290387153625488,0.0007,2.9803288,400,-40.001312255859375,1.7234576,3.0751874446868896,5.960464477539063e-08
1.0091400146484375,9,-20.525166,256,499,6.9969244,2500,373.0096130371094,0.0007,-4.825496,500,-39.98708724975586,-13.060407,121.13136291503906,0.0
1.0100418329238892,11,-0.3795042,256,599,1.1251146,3000,140.81849670410156,0.0007,0.34231547,600,-40.008113861083984,-0.084222816,14.431970596313477,-0.029668450355529785
1.0095330476760864,13,-3.8658743,257,699,1.5873475,3500,-91.05467224121094,0.0007,-0.022711825,700,-39.99189376831055,-3.8658743,6.2550506591796875,0.0
1.0099133253097534,15,-1.6961876,257,799,1.9828417,4000,16.496997833251953,0.0007,-0.4118501,800,-40.00843048095703,-1.6961876,3.58601450920105,0.0
1.0085841417312622,17,-1.5440452,258,899,0.40464056,4500,230.2000732421875,0.0007,-0.40198407,900,-39.958290100097656,-1.5440452,36.166507720947266,0.0
1.0111428499221802,19,-5.172393,259,999,0.65559363,5000,-32.97271728515625,0.0007,-1.0705389,1000,-40.03034973144531,-5.172393,0.9558771252632141,0.0
1.0115610361099243,21,-13.205681,260,1099,3.3388696,5500,-311.2774353027344,0.0007,-1.4563982,1100,-40.04512023925781,2.6867967,73.38687896728516,-0.0016543865203857422
1.0119655132293701,22,-0.07270205,260,1199,2.563173,6000,-130.00587463378906,0.0007,0.8676631,1200,-40.0560302734375,0.16492325,11.92414665222168,0.0077168941497802734
1.0127414464950562,24,-4.102158,261,1299,4.0658345,6500,26.51572036743164,0.0007,-0.42412958,1300,-40.077430725097656,-4.102158,9.271234512329102,-1.8527581691741943
1.0119794607162476,26,-0.95671564,261,1399,2.3865342,7000,124.7806396484375,0.0007,0.8405592,1400,-40.06309127807617,0.5574736,16.008569717407227,-0.01713085174560547
