time/episodes,time/time_elapsed,train/reward_max,train/reward_mean,time/fps,time/total_timesteps,train/critic_loss,train/reward,train/reward_min,train/actor_loss,train/n_updates,train/learning_rate
4,118,,,98,11572,1912.32373046875,4.2043986,,69.70342254638672,11471,0.001
8,229,,,100,23144,56.37761688232422,4.2043986,,53.16035461425781,23043,0.001
12,346,,,100,34716,26.89653778076172,4.2043986,,37.3443489074707,34615,0.001
16,469,,,98,46288,30.965274810791016,4.2043986,,31.770734786987305,46187,0.001
