time/episodes,time/time_elapsed,train/reward_max,train/ent_coef_loss,train/reward_mean,time/fps,time/total_timesteps,train/critic_loss,train/reward,train/reward_min,train/actor_loss,train/ent_coef,train/n_updates,train/learning_rate
4,137,,-95.68838500976562,,84,11572,2165.199951171875,5.934635,,571.5999755859375,0.12420567870140076,11471,0.0001
8,270,,-103.39740753173828,,85,23144,2080.63232421875,3.2053857,,174.25035095214844,0.04036933183670044,23043,0.0001
12,401,,-73.47347259521484,,86,34716,35.10802459716797,1.2958827,,76.06912231445312,0.013493531383574009,34615,0.0001
16,533,,-3.552077054977417,,86,46288,18.42780303955078,2.5599663,,51.58382034301758,0.0058241430670022964,46187,0.0001
