,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2020-07-01,AAPL,88.4850082397461,89.27481431029784,88.43640923902939,88.73045803796369,110737200.0,2.0,2.9670036011705037,91.23560504213607,78.9139020989772,62.80710066355637,107.47223367625837,29.811268559107496,82.60845514933268,76.49038562774658,28.6200008392334,53.068399977552225
0,2020-07-01,AMGN,218.33641052246094,219.2863826341326,199.04626736831872,201.56237583597945,6575800.0,2.0,3.306031969365563,211.28454525266645,182.02395541872025,61.2796154216717,272.7951415437834,47.0100047008071,195.33914693196616,196.31466801961264,28.6200008392334,53.068399977552225
0,2020-07-01,AXP,88.49396514892578,91.2320521148652,88.1081826012562,89.62307184399013,3301000.0,2.0,-0.3739817726090138,106.11617218191954,84.33574203316836,48.50480602062743,-62.63856102179811,1.7521784581160191,93.45101013183594,87.15738995869954,28.6200008392334,53.068399977552225
0,2020-07-01,BA,180.32000732421875,190.61000061035156,180.0399932861328,185.8800048828125,49036700.0,2.0,5.44319347756678,220.72113910564974,160.93286327472134,50.92577107851482,24.220608346258853,15.936440150233627,176.4723347981771,155.6141675313314,28.6200008392334,53.068399977552225
0,2020-07-01,CAT,113.82457733154297,116.84039264815515,113.66204790862544,116.8223437739957,2807800.0,2.0,1.2006181694842155,123.23290450199904,106.93903611079394,52.865430432400586,35.36664297052639,14.542294037542863,112.65585759480794,107.21597264607747,28.6200008392334,53.068399977552225
0,2020-07-01,CRM,190.22314453125,191.14507394036815,185.83163304176185,186.46607306877857,4754600.0,2.0,4.155843018054611,193.37720362847372,167.5709698944755,58.104307754664504,139.95255288964296,29.22571523621861,178.62611490885416,169.46356735229492,28.6200008392334,53.068399977552225
0,2020-07-01,CSCO,39.545021057128906,40.11166689050807,39.49350660859427,39.957126820029615,17129500.0,2.0,0.24773849341661958,41.5781858810137,37.57538658297556,53.1605428405026,18.696670350066437,13.443413225742335,39.52985140482585,37.92134920756022,28.6200008392334,53.068399977552225
0,2020-07-01,CVX,70.36942291259766,72.89924767549927,70.31320472069592,71.70259980369175,6379400.0,2.0,-0.9220848201023273,82.2076243386333,66.4845112814839,47.82917931850612,-93.28396871120962,8.373804792248112,74.45408732096354,72.17488994598389,28.6200008392334,53.068399977552225
0,2020-07-01,DIS,111.15693664550781,113.70446388558302,110.4487415427601,110.97004974220144,11930900.0,2.0,-0.9540568542378907,125.16456310269255,104.69943912509065,49.23569275711524,-76.95776437393451,1.5591882055592954,115.70314509073893,109.55284169514974,28.6200008392334,53.068399977552225
0,2020-07-01,GS,176.1073760986328,178.04164076181456,174.28007111783776,177.27506463528894,2620100.0,2.0,0.5522415556089868,198.40886978950996,167.03464827689626,50.96276188783844,-34.041883087060896,4.024928482347279,179.82484232584636,169.10854466756186,28.6200008392334,53.068399977552225
